"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 18 15:20:21 CST 2019","Mon Nov 18 15:20:29 CST 2019","7480","Testcases","test_2buy","TestLogin","","","test_login",""
"passed","Mon Nov 18 15:20:49 CST 2019","Mon Nov 18 15:21:00 CST 2019","10751","Testcases","test_2buy","TestLogin","","","test_buy_dzp",""
"passed","Mon Nov 18 14:40:16 CST 2019","Mon Nov 18 14:40:17 CST 2019","1143","Testcases","test_2buy","TestLogin","","","test_go_purchase_order",""
"passed","Mon Nov 18 15:20:41 CST 2019","Mon Nov 18 15:20:49 CST 2019","8378","Testcases","test_2buy","TestLogin","","","test_buy_hl",""
"passed","Mon Nov 18 15:20:29 CST 2019","Mon Nov 18 15:20:41 CST 2019","11669","Testcases","test_2buy","TestLogin","","","test_buy_yx",""
"passed","Mon Nov 18 15:21:08 CST 2019","Mon Nov 18 15:21:12 CST 2019","4419","Testcases","test_2buy","TestLogin","","","test_cancel_order_yes",""
"broken","Mon Nov 18 14:39:15 CST 2019","Mon Nov 18 14:39:15 CST 2019","164","Testcases","test_1registered","TestLogin","","","test_login2",""
"passed","Mon Nov 18 15:21:00 CST 2019","Mon Nov 18 15:21:08 CST 2019","8249","Testcases","test_2buy","TestLogin","","","test_orders",""
